Service
Links	name	optical_name	ra	dec	porb	fx_limit	fx	fx_max
None selected. 	1H 1253-761	HD 109857	12 39 14.60	-75 22 14.0			0.60	
None selected. 	IGR J12349-6434	RT Cru	12 34 54.70	-64 33 55.6			1.30	
None selected. 	2RXP J130159.6-635806		13 01 58.70	-63 58 09.0			6.30	
None selected. 	1H 1249-637	HD 110432	12 42 50.30	-63 03 31.0			2.20	
None selected. 	4U 1223-624	BP Cru ?	12 26 37.60	-62 46 13.0	41.590		9.00	1000.0
None selected. 	2S 1417-624	No. 7	14 21 12.90	-62 41 54.0	42.120		2.00	43.0
None selected. 	2S 1145-619	V801 Cen	11 48 00.00	-62 12 25.0	187.500		4.00	1000.0
None selected. 	SAX J1324.4-6200		13 24 26.30	-62 00 53.0			0.40	
None selected. 	1E 1145.1-6141	V830 Cen	11 47 28.60	-61 57 14.0	14.400		4.00	70.0
None selected. 	1A 1118-615	Hen 3-640	11 20 57.20	-61 55 00.0			0.10	70.0
None selected. 	4U 1258-61	V850 Cen	13 01 17.10	-61 36 07.0	133.000		0.30	200.0
None selected. 	IGR J11435-6109		11 44 10.70	-61 07 02.0	52.460		10.00	
None selected. 	1H 0749-600	HD 65663	07 50 15.77	-61 05 58.2			0.70	
None selected. 	1A 1244-604		12 47 35.00	-60 38 34.0		<	24.00	100.0
None selected. 	4U 1119-603	V779 Cen	11 21 15.10	-60 37 25.5	2.090		10.00	312.0
None selected. 	1H 1238-599		12 42 01.00	-60 12 00.0			3.00	16.0
None selected. 	IGR J11215-5952	HD 306414	11 21 46.81	-59 51 47.9			42.00	
None selected. 	SAX J1452.8-5949		14 52 49.30	-59 49 18.0			0.04	
None selected. 	1A 1246-588		12 49 36.00	-59 07 18.0		<	24.00	300.0
None selected. 	GRO J1008-57	star	10 09 46.90	-58 17 35.5	135.000		1200.00	
None selected. 	1H 1255-567	mu.02 Cru	12 54 36.90	-57 10 07.0			0.80	
None selected. 	RX J1037.5-5647	LS 1698	10 37 35.20	-56 47 59.0			3.30	
None selected. 	XTE J1543-568		15 44 01.00	-56 45 54.0	75.560		8.00	
None selected. 	1H 1555-552	HD 141926	15 54 21.80	-55 19 45.0			1.70	
None selected. 	2S 1553-542		15 57 49.00	-54 24 54.0	30.600		27.00	
None selected. 	1H 0739-529	HD 63666	07 47 23.60	-53 19 57.0			0.70	
None selected. 	4U 1538-52	QV Nor	15 42 23.30	-52 23 10.0	3.730	<	3.00	30.0
None selected. 	IGR J16195-4945	HD 146628?	16 19 29.00	-49 45 30.0			9.00	
None selected. 	IGR J16318-4848	No. 1	16 31 48.31	-48 49 00.7			45.00	
None selected. 	IGR J16283-4838		16 28 10.70	-48 38 55.0			13.00	
None selected. 	IGR J16320-4751	No. 1	16 32 01.90	-47 52 27.1	8.960		17.00	
None selected. 	IGR J16358-4726		16 35 58.00	-47 24 24.0			7.00	
None selected. 	AX J1639.0-4642		16 39 05.40	-46 42 14.0			0.80	
None selected. 	IGR J16418-4532		16 41 45.00	-45 31 12.0			1.00	
None selected. 	IGR J16479-4514		16 48 07.00	-45 12 05.8			470.00	
None selected. 	IGR J16465-4507		16 46 35.26	-45 07 04.5			16.00	
None selected. 	1WGA J0648.0-4419	HD 49798	06 48 04.60	-44 18 58.4	1.550		0.03	
None selected. 	IGR J16493-4348		16 49 21.00	-43 48 36.0			0.40	
None selected. 	GS 0834-430	No. D	08 35 55.40	-43 11 11.9	105.800		30.00	300.0
None selected. 	AX J1700-419		17 00 05.30	-41 57 44.0			0.40	
None selected. 	OAO 1657-415	star	17 00 48.90	-41 39 21.6	10.400		4.00	42.0
None selected. 	4U 0900-40	HD 77581	09 02 06.90	-40 33 17.0	8.960		2.00	1100.0
None selected. 	4U 1700-37	HD 153919	17 03 56.80	-37 50 39.0	3.410	<	11.00	110.0
None selected. 	IGR J17091-3624		17 09 02.30	-36 23 33.0			22.00	
None selected. 	EXO 1722-363		17 25 11.40	-36 16 57.5	9.740		0.20	8.0
None selected. 	RX J0812.4-3114	LS 992	08 12 28.40	-31 14 21.0	81.300		0.60	
None selected. 	XTE J1739-302		17 39 11.58	-30 20 37.6			136.00	
None selected. 	RX J1739.4-2942		17 39 30.10	-29 42 07.0			2.50	
