|name                    |ra         |dec        |vmag |bv_color|porb     |flux_limit|flux    |flux_max|xray_type       |pulse_period|alt_name_1           |alt_name_2|
|SAX J1603.9-7753        |16 03 54.00|-77 53 06.0|     |        |         |          |  160.00|        |T, B            |            |                     |          |
|2A 0521-720             |05 20 28.04|-71 57 53.3|18.00|    0.00|   0.3400|          |    9.00|      44|Z               |            |LMC X-2              |          |
|RX J0532.7-6926         |05 32 42.80|-69 26 18.0|     |        |         |          |    0.50|        |                |            |                     |          |
|4U 1254-69              |12 57 37.20|-69 17 20.8|19.10|    0.30|   0.1638|          |   25.00|        |B, D            |            |                     |          |
|GS 1124-684             |11 26 26.70|-68 40 32.6|13.30|    0.30|   0.4325|          | 3000.00|        |T, U, R         |            |N Mus 1991           |          |
|EXO 0748-676            |07 48 33.30|-67 45 00.0|16.90|    0.10|   0.1592|          |    0.10|      60|T, B, D, E      |     0.02237|                     |          |
|4U 1626-67              |16 32 16.80|-67 27 43.0|18.50|    0.10|   0.0288|          |   25.00|        |P               |     7.70000|                     |No. 4     |
|GS 1354-64              |13 58 09.92|-64 44 04.9|16.90|    1.10|   2.5446|          |    5.00|     120|T, U, R         |            |                     |          |
|2S 0921-630             |09 22 35.20|-63 17 38.5|15.30|    0.60|   9.0083|          |    3.00|        |D, E            |            |                     |          |
|SAX J1324.5-6313        |13 24 27.00|-63 13 24.0|     |        |         |          |  560.00|        |B               |            |                     |          |
|4U 1543-624             |15 47 54.29|-62 34 11.2|     |        |   0.0126|          |   80.00|        |                |            |                     |          |
|4U 1323-62              |13 26 36.31|-62 08 09.9|     |        |   0.1221|          |   10.00|        |B, D            |            |                     |          |
|1A 1524-61              |15 28 17.20|-61 52 58.0|     |        |         |&lt;         |    5.00|     950|T, U            |            |TrA X-1              |No. N     |
|4U 1556-60              |16 01 02.30|-60 44 18.0|18.60|    0.45|   0.3792|          |   16.00|        |                |            |                     |No. X     |
|1A 1246-588             |12 49 39.36|-59 05 14.7|19.45|    0.22|         |          |    8.00|        |B               |            |                     |          |
|3A 1516-569             |15 20 40.90|-57 10 01.0|21.40|        |  16.6000|          |    5.00|    3000|T, B, A, D, M, R|            |Cir X-1              |          |
|XTE J1550-564           |15 50 58.78|-56 28 35.0|16.60|    1.35|   1.5521|          |  600.00|    7000|T, M, R         |            |                     |          |
|AX J1538.3-5541         |15 38 18.24|-55 56 16.8|     |        |         |          |    1.00|        |                |            |                     |          |
|4U 0919-54              |09 20 26.95|-55 12 24.7|21.00|    0.30|         |          |   10.00|        |B               |            |2S 0918-549          |          |
|4U 1636-536             |16 40 55.50|-53 45 05.0|17.50|    0.70|   0.1583|          |  220.00|        |B, A            |     0.00172|                     |No. 3     |
|IGR J11321-5311         |11 32 06.00|-53 11 00.0|     |        |         |          |   30.00|        |T               |            |                     |          |
|4U 1608-52              |16 12 43.00|-52 25 23.0|     |        |   0.5371|&lt;         |    1.00|     110|T, B, A         |     0.00162|                     |          |
|1E 161348-5055.1        |16 17 36.26|-51 02 25.0|     |        |   0.2779|          |    1.00|        |                |            |                     |          |
|XTE J1650-500           |16 50 00.98|-49 57 43.6|     |        |   0.3179|          |  455.00|        |T, R            |            |                     |          |
|4U 1624-49              |16 28 02.82|-49 11 54.6|     |        |   0.8704|          |   55.00|        |D               |            |                     |          |
|4U 1659-487             |17 02 49.50|-48 47 23.0|15.50|    0.80|   1.7558|          |    1.50|     900|T, U, M, R      |            |GX 339-4             |No. V     |
|GRS 1632-477            |16 36 28.40|-47 49 37.0|     |        |         |          |   13.00|        |                |            |                     |          |
|4U 1543-47              |15 47 08.60|-47 40 10.0|14.90|    0.60|   1.1167|&lt;         |    1.00|   15000|T, U, R         |            |                     |          |
|IGR J17269-4737         |17 26 49.28|-47 38 24.9|     |        |         |          |   83.00|        |T               |            |XTE J1727-476        |          |
|4U 1630-47              |16 34 01.61|-47 23 34.8|     |        |         |&lt;         |    2.00|    1400|T, U, D, R      |            |X Nor X-1            |          |
|XTE J1701-462           |17 00 58.45|-46 11 08.6|     |        |         |          | 1100.00|        |T, Z, R?        |            |                     |          |
|4U 1642-45              |16 45 47.70|-45 36 39.5|     |        |         |          |  500.00|        |Z, R            |            |GX 340+0             |          |
|GRS 1009-45             |10 13 36.30|-45 04 32.0|14.71|    0.13|   0.2850|          |  800.00|        |T, U            |            |N Vel 1993           |          |
|4U 1735-444             |17 38 58.30|-44 27 00.0|17.50|    0.20|   0.1938|          |  160.00|        |B, A, R?        |            |                     |No. 5     |
|4U 1705-44              |17 08 54.47|-44 06 07.4|     |        |         |          |   10.00|     280|B, A, R         |            |                     |          |
|4U 1702-429             |17 06 15.31|-43 02 08.7|     |        |         |          |   45.00|        |B, A            |     0.00303|                     |          |
|1M 0836-425             |08 37 23.60|-42 54 02.0|     |        |         |          |    1.00|      55|T, B            |            |GS 0836-429          |          |
|SAX J1719.6-4254        |17 19 38.23|-42 53 48.0|     |        |         |          |        |        |T               |            |                     |          |
|4U 1708-40              |17 12 23.83|-40 50 34.0|     |        |         |          |   32.00|        |B               |            |                     |          |
|1RXS J171824.2-402934   |17 18 24.14|-40 29 33.0|     |        |         |          |    1.50|        |B               |            |RX J1718.4-4029      |          |
|4U 0513-40              |05 14 06.41|-40 02 38.2|     |        |         |          |    6.00|        |G, B            |            |XB 0512-401          |No. A     |
|GRO J1655-40            |16 54 00.14|-39 50 44.9|14.20|    1.00|   2.6200|          | 1600.00|        |T, D, M, R      |            |XN Sco 1994          |          |
|SAX J1711.6-3808        |17 11 37.10|-38 07 05.7|     |        |         |          |   80.00|        |T               |            |                     |          |
|XTE J1723-376           |17 23 38.70|-37 39 42.0|     |        |         |          |        |        |T, B            |            |                     |          |
|SAX J1712.6-3739        |17 12 37.10|-37 38 34.0|     |        |         |          |   35.00|        |T, B            |            |                     |          |
|2A 1822-371             |18 25 46.80|-37 06 19.0|15.10|    0.10|   0.2321|          |   10.00|      25|P, E            |     0.59000|                     |          |
|4U 1746-37              |17 50 12.73|-37 03 06.5|     |        |   0.2150|          |   32.00|        |G, B, A, D      |            |                     |NGC 6441  |
|SAX J1808.4-3658        |18 08 27.60|-36 58 43.9|16.51|    0.30|   0.0839|          |  110.00|        |T, P, B, R      |     0.00249|XTE J1808-369        |          |
|IGR J17098-3628         |17 09 45.93|-36 27 58.2|     |        |         |          |   80.00|        |T, R?           |            |                     |          |
|3A 1702-363             |17 05 44.50|-36 25 23.0|18.60|    1.50|   0.9375|          |  825.00|        |Z, R            |            |GX 349+2             |          |
|XTE J1743-363           |17 43 00.00|-36 21 30.0|     |        |         |          |    3.00|      15|T               |            |                     |          |
|1A 1744-361             |17 48 13.15|-36 07 57.0|     |        |   0.0675|&lt;         |   25.00|     275|T, A?, B, D, R  |     0.00190|XTE J1748-361        |          |
|X1724-356               |17 27 39.30|-35 44 04.0|     |        |         |          |   32.00|        |                |            |                     |          |
|2S 1711-339             |17 14 19.78|-34 02 47.3|     |        |         |          |   16.00|     130|T, B            |            |                     |          |
|4U 1728-34              |17 31 57.73|-33 50 02.5|     |        |         |          |  150.00|        |B, A, R         |     0.00275|GX 354-0             |          |
|4U 1755-33              |17 58 40.00|-33 48 27.0|18.50|    0.70|   0.1833|          |  100.00|        |T, U, D         |            |                     |No. X     |
|XTE J1814-338           |18 13 39.04|-33 46 22.3|18.33|    0.28|   0.1781|          |   13.00|        |T, P, B         |     0.00320|                     |          |
|MXB 1730-335            |17 33 24.61|-33 23 19.8|     |        |         |          |  200.00|        |T, G, B, D, R   |            |Rapid Burster        |          |
|SLX 1746-331            |17 49 48.30|-33 12 26.0|     |        |         |          |  270.00|        |T, U            |            |                     |          |
|XTE J1817-330           |18 17 43.54|-33 01 07.8|     |        |         |          | 1350.00|        |T, R            |            |                     |          |
|XB 1832-330             |18 35 43.65|-32 59 26.8|18.90|        |         |          |    8.00|        |G, B            |            |RX J1832-33          |          |
|IGR J17254-3257         |17 25 25.50|-32 57 17.5|     |        |         |          |    2.00|        |T, B            |            |1RXS J172525.5-325717|          |
|GPS 1742-326            |17 45 29.00|-32 41 36.0|     |        |         |&lt;         |    2.00|       3|                |            |                     |          |
|XTE J1755-324           |17 55 28.60|-32 28 39.0|     |        |         |          |  180.00|        |T               |            |                     |          |
|1E 1746.7-3224          |17 50 03.90|-32 25 50.4|     |        |         |          |    0.14|       2|                |            |                     |          |
|4U 1705-32              |17 08 54.27|-32 19 57.1|     |        |         |          |    8.00|        |B               |            |1RXS J170854.4-321857|          |
|H1743-322               |17 46 15.57|-32 14 01.1|     |        |         |&lt;         |    2.00|     770|T, U, M, R      |            |IGR J17464-3213      |          |
|1H 1715-321             |17 18 47.40|-32 10 40.0|     |        |         |          |   28.00|        |B               |            |                     |          |
|XTE J1720-318           |17 19 58.99|-31 45 01.2|     |        |         |          |  410.00|        |T, R            |            |                     |          |
|4U 1456-32              |14 58 22.00|-31 40 08.0|12.80|    0.05|   0.6292|          |    0.10|   20000|T, B, R         |            |Cen X-4              |          |
|SAX J1752.3-3138        |17 52 24.00|-31 37 42.0|     |        |         |          |  740.00|        |B               |            |                     |          |
|XTE J0929-314           |09 29 20.19|-31 23 03.2|18.63|   -0.13|   0.0304|          |   36.00|        |T, P, R         |     0.00540|                     |          |
|GRS 1747-312            |17 50 46.86|-31 16 28.9|     |        |   0.5150|          |    1.50|      20|T, G, B, D, E   |            |                     |          |
|GRS 1730-312            |17 33 52.30|-31 12 25.0|     |        |         |          |  200.00|        |T               |            |AX J1733.9-3112      |          |
|GRS 1737-31             |17 40 09.00|-31 02 24.0|     |        |         |          |   26.00|        |T               |            |                     |          |
|4U 1724-307             |17 27 33.30|-30 48 07.0|     |        |         |          |   55.00|        |G, B, A         |            |1E 1724-3045         |          |
|XTE J1751-305           |17 51 13.49|-30 37 23.4|     |        |   0.0296|          |   56.00|        |T, P            |     0.00230|                     |          |
|KS 1739-304             |17 42 44.00|-30 30 51.0|     |        |         |          |    9.00|        |T               |            |                     |          |
|SLX 1732-304            |17 35 47.27|-30 28 52.8|     |        |         |          |    6.00|     130|G, B, R         |            |GPS 1733-304         |          |
|4U 1820-30              |18 23 40.48|-30 21 40.1|     |        |   0.0079|          |  420.00|        |G, B, A, R      |            |Sgr X-4              |          |
|SLX 1744-300            |17 47 25.40|-30 02 40.7|     |        |         |          |    4.00|        |B               |            |                     |          |
|SLX 1744-299            |17 47 25.90|-29 59 57.8|     |        |         |          |    6.00|        |B               |            |AX J1747.4-3000      |          |
|MXB 1659-298            |17 02 06.50|-29 56 44.1|18.30|    0.45|   0.2963|&lt;         |    5.00|      80|T, B, D, E      |     0.00180|                     |No. T     |
|1E 1740.7-2942          |17 43 54.83|-29 44 42.6|     |        |  12.7300|          |    4.00|      30|M, R            |            |                     |          |
|1A 1742-294             |17 46 05.20|-29 30 53.3|     |        |         |          |   60.00|     180|B               |            |GC X-1               |          |
|GC X-2                  |17 45 37.00|-29 27 10.0|     |        |         |          |   45.00|        |                |            |                     |          |
|GC X-4                  |17 43 47.00|-29 26 00.0|     |        |         |          |   30.00|        |T(?)            |            |                     |          |
|XTE J1807-294           |18 06 59.80|-29 24 30.0|     |        |   0.0278|          |   58.00|        |T, P            |     0.00525|                     |          |
|IGR J17285-2922         |17 28 30.00|-29 22 00.0|     |        |         |          |    5.00|        |T               |            |                     |          |
|KS 1741-293             |17 44 51.06|-29 21 16.8|     |        |         |&lt;         |    5.00|      26|T, B            |            |                     |          |
|1E 1742.7-2902          |17 45 52.90|-29 03 22.0|     |        |         |          |    0.20|        |                |            |                     |          |
