Name 	P 	dP/dt 	Bsurf 	dE/dt 	Tauc 	NH 	PL Index 	BB Temp 	Unabs fx{a} 	Distance 	Lx{b} 	Assoc? 	Opt/IR? 	Bands?{c} 	Activity? 	RA, Dec
  	(s) 	(10-11 s/s) 	(1014 G) 	(1033 erg/s) 	(kyr) 	(1022 cm-2) 	  	(keV) 	(10-12 erg/s/cm2) 	(kpc) 	(1033 erg/s) 	  	  	  	  	(J2000)
CXOU J010043.1-721134 	8.020392(9) [mgr+05] 	1.88(8) [mgr+05] 	3.9 	1.4 	6.8 	0.063+0.020-0.016 [tem08] 	... 	0.30(2) + 0.68+0.09-0.07 [tem08] 	0.14 [tem08] 	62.4(1.6) [hgd12b] 	~65 	SMC [lfmp02] 	maybe 	X O? 	... 	01h00m43.14s, -72°11′33.8″ [lfmp02]
4U 0142+61 	8.68869249(5) [dk14] 	0.2022(4) [dk14] 	1.3 	0.12 	68 	1.00(1)* [rni+07] 	3.88(1)* [rni+07] 	0.410+0.004-0.002* [rni+07] 	67.9* [rni+07] 	3.6(4) [dv06b] 	105 	... 	yes 	H X O I 	bursts, glitch 	01h46m22.407s, +61°45′03.19″ [hvk04]
SGR 0418+5729 	9.07838822(5) [rip+13] 	0.0004(1) [rip+13] 	0.061 	0.00021 	36000 	0.115(6) [rip+13] 	... 	0.32(5) [rip+13] 	0.0020 [0.012(1) (0.5-10 keV)] [rip+13] 	~2 [vck+10] 	0.0010 	... 	no 	X 	bursts, transient magnetar 	04h18m33.867s, +57°32′22.91″ [vck+10]
SGR 0501+4516 	5.7620695(1) [cpr+14] 	0.594(2) [cpr+14] 	1.9 	1.2 	15 	0.88(1) [cpr+14] 	3.84(6) [cpr+14] 	0.50(2) [cpr+14] 	1.7 [19(1) (0.5-10 keV)] [cpr+14] 	~2 [lkb+11] 	0.81 	SNR HB9? [GCN8149] 	yes 	H X O 	bursts 	05h01m6.76s, +45°16′33.92″ [gwk+10]
SGR 0526-66 	8.0544(2) [tem+09] 	3.8(1) [tem+09] 	5.6 	2.9 	3.4 	0.604+0.058-0.059 [phs+12] 	2.50+0.11-0.12 [phs+12] 	0.44(2) [phs+12] 	0.55 [1.58 (0.5-10 keV)] [phs+12] 	53.6(1.2) [hgd12a] 	189 	LMC, SNR N49?, SL 463 (young star cluster)? [khg+04] 	no 	X 	bursts, giant flare 	05h26m00.89s, -66°04′36.3″ [kkm+03]
1E 1048.1-5937 	6.4578754(25)* [dkg09] 	~2.25* [dkg09] 	3.9 	3.3 	4.5 	0.97(1)* [tgd+08] 	3.14(11)* [tgd+08] 	0.56(1)* [tgd+08] 	5.1(1)* [tgd+08] 	9.0(1.7)* [dv06b] 	49 	GSH 288.3-0.5-2.8 (stellar wind bubble)? [gmo+05] 	yes 	H X O 	bursts, glitch 	10h50m07.14s, -59°53′21.4″ [wc02]
1E 1547.0-5408 	2.0721255(1) [dksg12] 	~4.77* [dksg12] 	3.2 	210 	0.69 	3.2(2) [bis+11] 	4.0(2) [bis+11] 	0.43(3) [bis+11] 	~0.54 [5.4 (0.5-10 keV)] [bis+11] 	4.5(5) [tve+10] 	1.3 	SNR G327.24-0.13 [gg07] 	maybe 	H X O? R 	bursts, transient magnetar 	15h50m54.124s, -54°18′24.11″ [dcrh12]
PSR J1622-4950 	4.3261(1) [lbb+10] 	1.7(1)* [lbb+10] 	2.7 	8.3 	4.0 	5.4+1.6-1.4 [ags+12] 	... 	0.5(1) [ags+12] 	~0.045 [0.11+0.09-0.04 (0.3-10 keV)] [ags+12] 	~9 [lbb+10] 	0.44 	SNR G333.9+0.0 [ags+12] 	no 	X R 	... 	16h22m44.89s, -49°50′52.7″ [ags+12]
SGR 1627-41 	2.594578(6) [etm+09] 	1.9(4) [ebp+09] 	2.2 	43 	2.2 	10(2)* [eiz+08] 	2.9(8)* [akt+12] 	... 	0.25+0.17-0.10* [akt+12] 	11.0(3) [ccdd99] 	3.6 	CTB 33 (radio complex), MC -71, SNR G337.0-0.1 [ccdd99] 	no 	X 	bursts, transient magnetar 	16h35m51.844s, -47°35′23.31″ [wpk+04]
